Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Geographic Area Name_x,Area_Type,Tract_x,Plurality Race,Tract_y, !!Total:!!Population of one race:!!White alone_PROPORTION, !!Total:!!Population of one race:!!Black or African American alone_PROPORTION, !!Total:!!Population of one race:!!American Indian and Alaska Native alone_PROPORTION, !!Total:!!Population of one race:!!Asian alone_PROPORTION, !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone_PROPORTION, !!Total:!!Population of one race:!!Some Other Race alone_PROPORTION,FIPS Code 2020,California Census tracts,Number of people in state prison from each Census tract 2020,"Census population, 2020","Total population, 2020","Imprisonment rate per 100,000",Geographic Area Name_y,Estimate!!Total!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!AGE!!16 to 19 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher
4039.0,6.9,4039.0,Urban,4039.0,White,4039.0,0.5604869388790261,0.12731422774537154,0.00507227998985544,0.1422774537154451,0.001775297996449404,0.04818665990362668,6001403900,4039.0,4,"3,943","3,947",101,4039.0,3622,4.3,0,2765,174,115,419,2057
4040.0,10.0,4040.0,Urban,4040.0,White,4040.0,0.5467366349622828,0.12135126270908494,0.005903574942604133,0.14562151525090195,0.0029517874713020664,0.03804526074122663,6001404000,4040.0,1,"3,049","3,050",33,4040.0,2599,2.8,35,2076,55,186,412,1423
4041.01,5.0,4041.01,Urban,4041.01,White,4041.01,0.64606562599554,0.06084740363172985,0.004778591908251036,0.12456196240841032,0.0,0.03568015291494107,6001404101,4041.01,2,"3,139","3,141",64,4041.01,2715,3.0,47,2030,16,56,245,1713
4041.02,9.2,4041.02,Urban,4041.02,White,4041.02,0.634737678855326,0.07313195548489666,0.006359300476947536,0.13910969793322733,0.0,0.03418124006359301,6001404102,4041.02,1,"2,516","2,517",40,4041.02,2342,1.5,0,1474,63,67,247,1097
4042.0,5.0,4042.0,Urban,4042.0,White,4042.0,0.6533919252952486,0.05575391375995606,0.0019225487503433123,0.1406207085965394,0.0,0.014007140895358419,6001404200,4042.0,1,"3,641","3,642",27,4042.0,3063,8.3,289,1874,48,40,262,1524
4043.0,4.4,4043.0,Urban,4043.0,White,4043.0,0.6759367681498829,0.035421545667447304,0.0020491803278688526,0.1451990632318501,0.0002927400468384075,0.016100702576112413,6001404300,4043.0,1,"3,416","3,417",29,4043.0,2909,6.4,107,1954,31,72,162,1689
4044.0,3.3,4044.0,Urban,4044.0,White,4044.0,0.6100338018146237,0.04892367906066536,0.002668564312399929,0.1718555417185554,0.0014232342999466287,0.02383917452410603,6001404400,4044.0,6,"5,621","5,627",107,4044.0,4615,1.7,187,3267,113,79,337,2738
4045.01,1.9,4045.01,Urban,4045.01,White,4045.01,0.6753246753246753,0.0378317334839074,0.000564652738565782,0.13043478260869565,0.004517221908526256,0.0220214568040655,6001404501,4045.01,1,"1,771","1,772",56,4045.01,1406,0.6,115,888,14,61,67,746
4045.02,1.2,4045.02,Urban,4045.02,White,4045.02,0.6503067484662577,0.06134969325153374,0.003551824346141427,0.1262512108492089,0.0006457862447529867,0.020826606393283823,6001404502,4045.02,9,"6,194","6,203",145,4045.02,4602,2.4,114,3301,25,99,553,2624
4046.0,3.4,4046.0,Urban,4046.0,White,4046.0,0.6616128323445397,0.04921995165897605,0.0026367831245880024,0.12392880685563612,0.0006591957811470006,0.024170511975390024,6001404600,4046.0,3,"4,551","4,554",66,4046.0,4034,6.8,112,2759,100,145,362,2152
