"GEO_ID","NAME","H2_001N","H2_001NA","H2_002N","H2_002NA","H2_003N","H2_003NA","H2_004N","H2_004NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Urban","Annotation of  !!Total:!!Urban"," !!Total:!!Rural","Annotation of  !!Total:!!Rural"," !!Total:!!Not defined for this file","Annotation of  !!Total:!!Not defined for this file",
"0400000US06","California","14392140","null","13445407","null","946733","null","0","null",
"1400000US06001435601","Census Tract 4356.01; Alameda County; California","1718","null","1718","null","0","null","0","null",
"1400000US06001435602","Census Tract 4356.02; Alameda County; California","1775","null","1775","null","0","null","0","null",
"1400000US06001435700","Census Tract 4357; Alameda County; California","1523","null","1523","null","0","null","0","null",
"1400000US06001435800","Census Tract 4358; Alameda County; California","1767","null","1767","null","0","null","0","null",
"1400000US06001435900","Census Tract 4359; Alameda County; California","1702","null","1702","null","0","null","0","null",
"1400000US06001436000","Census Tract 4360; Alameda County; California","1568","null","1568","null","0","null","0","null",
"1400000US06001436100","Census Tract 4361; Alameda County; California","1817","null","1817","null","0","null","0","null",
"1400000US06001436200","Census Tract 4362; Alameda County; California","1336","null","1336","null","0","null","0","null",
"1400000US06001436301","Census Tract 4363.01; Alameda County; California","1800","null","1800","null","0","null","0","null",
"1400000US06001436302","Census Tract 4363.02; Alameda County; California","1350","null","1350","null","0","null","0","null",
"1400000US06001436402","Census Tract 4364.02; Alameda County; California","1102","null","1102","null","0","null","0","null",
"1400000US06001436403","Census Tract 4364.03; Alameda County; California","1860","null","1860","null","0","null","0","null",
"1400000US06001436404","Census Tract 4364.04; Alameda County; California","1265","null","1265","null","0","null","0","null",
"1400000US06001436500","Census Tract 4365; Alameda County; California","1936","null","1936","null","0","null","0","null",
"1400000US06001436601","Census Tract 4366.01; Alameda County; California","1956","null","1956","null","0","null","0","null",
"1400000US06001436602","Census Tract 4366.02; Alameda County; California","1878","null","1878","null","0","null","0","null",
"1400000US06001436700","Census Tract 4367; Alameda County; California","1134","null","1134","null","0","null","0","null",
"1400000US06001436800","Census Tract 4368; Alameda County; California","1426","null","1426","null","0","null","0","null",
"1400000US06001436900","Census Tract 4369; Alameda County; California","1970","null","1970","null","0","null","0","null",
"1400000US06001437000","Census Tract 4370; Alameda County; California","1279","null","1279","null","0","null","0","null",
"1400000US06001437101","Census Tract 4371.01; Alameda County; California","2162","null","2162","null","0","null","0","null",
"1400000US06001437102","Census Tract 4371.02; Alameda County; California","1540","null","1540","null","0","null","0","null",
"1400000US06001437200","Census Tract 4372; Alameda County; California","2992","null","2992","null","0","null","0","null",
"1400000US06001437300","Census Tract 4373; Alameda County; California","952","null","952","null","0","null","0","null",
"1400000US06001437400","Census Tract 4374; Alameda County; California","956","null","956","null","0","null","0","null",
"1400000US06001437500","Census Tract 4375; Alameda County; California","1241","null","1241","null","0","null","0","null",
"1400000US06001437600","Census Tract 4376; Alameda County; California","958","null","958","null","0","null","0","null",
"1400000US06001437701","Census Tract 4377.01; Alameda County; California","1134","null","1134","null","0","null","0","null",
"1400000US06001437702","Census Tract 4377.02; Alameda County; California","1132","null","1132","null","0","null","0","null",
"1400000US06001437800","Census Tract 4378; Alameda County; California","1400","null","1400","null","0","null","0","null",
"1400000US06001437900","Census Tract 4379; Alameda County; California","731","null","731","null","0","null","0","null",
"1400000US06001438000","Census Tract 4380; Alameda County; California","1107","null","1107","null","0","null","0","null",
"1400000US06001438100","Census Tract 4381; Alameda County; California","2210","null","2210","null","0","null","0","null",
"1400000US06001438201","Census Tract 4382.01; Alameda County; California","1260","null","1260","null","0","null","0","null",
"1400000US06001438203","Census Tract 4382.03; Alameda County; California","1273","null","1273","null","0","null","0","null",
"1400000US06001438204","Census Tract 4382.04; Alameda County; California","1957","null","1957","null","0","null","0","null",
"1400000US06001438300","Census Tract 4383; Alameda County; California","928","null","928","null","0","null","0","null",
"1400000US06001438400","Census Tract 4384; Alameda County; California","742","null","742","null","0","null","0","null",
"1400000US06001440100","Census Tract 4401; Alameda County; California","1161","null","1141","null","20","null","0","null",
"1400000US06001440200","Census Tract 4402; Alameda County; California","1495","null","1495","null","0","null","0","null",
"1400000US06001440301","Census Tract 4403.01; Alameda County; California","2234","null","2234","null","0","null","0","null",
"1400000US06001440304","Census Tract 4403.04; Alameda County; California","1363","null","1363","null","0","null","0","null",
"1400000US06001440305","Census Tract 4403.05; Alameda County; California","1026","null","1026","null","0","null","0","null",
"1400000US06001440306","Census Tract 4403.06; Alameda County; California","1062","null","1062","null","0","null","0","null",
"1400000US06001440307","Census Tract 4403.07; Alameda County; California","1695","null","1695","null","0","null","0","null",
"1400000US06001440308","Census Tract 4403.08; Alameda County; California","1931","null","1931","null","0","null","0","null",
"1400000US06001440331","Census Tract 4403.31; Alameda County; California","950","null","950","null","0","null","0","null",
"1400000US06001440332","Census Tract 4403.32; Alameda County; California","878","null","878","null","0","null","0","null",
"1400000US06001440333","Census Tract 4403.33; Alameda County; California","833","null","833","null","0","null","0","null",
"1400000US06001440334","Census Tract 4403.34; Alameda County; California","1084","null","1084","null","0","null","0","null",
"1400000US06001440336","Census Tract 4403.36; Alameda County; California","1483","null","1483","null","0","null","0","null",
"1400000US06001440337","Census Tract 4403.37; Alameda County; California","751","null","751","null","0","null","0","null",
"1400000US06001440338","Census Tract 4403.38; Alameda County; California","1835","null","1835","null","0","null","0","null",
"1400000US06001441100","Census Tract 4411; Alameda County; California","1600","null","1163","null","437","null","0","null",
"1400000US06001441200","Census Tract 4412; Alameda County; California","2633","null","2633","null","0","null","0","null",
"1400000US06001441301","Census Tract 4413.01; Alameda County; California","1209","null","1209","null","0","null","0","null",
"1400000US06001441302","Census Tract 4413.02; Alameda County; California","1876","null","1876","null","0","null","0","null",
"1400000US06001441401","Census Tract 4414.01; Alameda County; California","2414","null","2414","null","0","null","0","null",
"1400000US06001441402","Census Tract 4414.02; Alameda County; California","1751","null","1751","null","0","null","0","null",
"1400000US06001441501","Census Tract 4415.01; Alameda County; California","1773","null","1773","null","0","null","0","null",
"1400000US06001441503","Census Tract 4415.03; Alameda County; California","2426","null","2425","null","1","null","0","null",
"1400000US06001441521","Census Tract 4415.21; Alameda County; California","1806","null","1806","null","0","null","0","null",
