Plurality Race,Tract Number
Some Other Race,31.32
White,31.33
White,31.34
White,31.35
Some Other Race,31.36
Some Other Race,31.37
White,32.03
Some Other Race,32.07
Some Other Race,32.08
Some Other Race,32.09
Some Other Race,32.1
Some Other Race,32.11
White,32.12
White,32.13
Some Other Race,32.14
Some Other Race,32.15
Some Other Race,32.16
Some Other Race,32.17
Asian,32.18
Some Other Race,32.19
White,32.2
White,32.21
White,32.22
White,33.03
White,33.04
White,33.05
White,33.07
White,33.08
Some Other Race,34.0
White,35.0
White,36.0
White,38.06
White,38.07
White,38.08
White,38.1
White,38.11
White,38.12
White,38.14
White,38.15
White,38.16
White,38.17
White,38.18
White,38.19
White,38.2
White,38.21
White,38.22
White,38.23
White,38.24
White,38.25
White,38.26
White,38.27
White,39.0
Some Other Race,40.01
Some Other Race,40.02
Some Other Race,41.01
Some Other Race,41.02
Some Other Race,43.02
Some Other Race,43.03
Some Other Race,43.04
Some Other Race,43.05
Some Other Race,44.02
Some Other Race,44.03
Some Other Race,44.04
Some Other Race,45.0
Some Other Race,46.01
Some Other Race,46.03
Some Other Race,46.05
Some Other Race,46.06
Some Other Race,46.07
Some Other Race,47.02
Some Other Race,47.03
Some Other Race,47.04
Some Other Race,48.01
Some Other Race,48.02
Some Other Race,49.01
Some Other Race,49.03
Some Other Race,49.04
Some Other Race,50.03
Some Other Race,50.05
Some Other Race,50.06
White,51.03
White,51.04
White,52.03
White,52.05
White,52.06
White,52.07
White,52.08
White,53.0
White,54.02
White,54.05
White,54.06
White,54.07
White,54.08
White,54.09
White,54.1
White,55.08
White,55.09
White,55.1
White,55.11
White,55.12
White,55.13
White,55.14
White,56.0
White,57.0
White,58.03
White,58.04
White,58.05
White,58.06
White,59.0
Some Other Race,60.02
White,60.03
White,60.04
White,60.06
White,60.09
White,60.1
White,60.11
White,60.12
White,61.01
White,61.02
Some Other Race,62.01
Some Other Race,62.02
Some Other Race,63.01
Some Other Race,63.03
Some Other Race,63.04
Some Other Race,64.03
Some Other Race,64.04
Some Other Race,64.05
Some Other Race,64.06
White,65.0
Some Other Race,66.0
White,1.0
White,2.0
White,4.02
White,4.03
White,4.05
White,4.06
White,4.07
White,5.0
White,6.02
White,6.03
White,6.04
White,7.01
White,7.02
White,8.0
White,9.01
Some Other Race,9.02
White,10.01
Some Other Race,10.02
Some Other Race,10.03
Some Other Race,11.0
White,12.0
Some Other Race,13.0
Some Other Race,14.01
Some Other Race,14.02
Some Other Race,15.0
Some Other Race,16.01
Some Other Race,17.02
Some Other Race,17.03
White,9800.0
Some Other Race,9801.0
Some Other Race,9818.0
White,1.0
White,3.0
White,4.01
White,4.02
White,5.01
White,5.02
White,6.01
White,6.02
White,7.02
White,7.03
White,7.04
White,8.01
White,8.02
White,9.01
