Estimate!!Total!!Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Estimate!!Unemployment rate!!Population 16 years and over,Tract Number
108,8.4,59.07
111,5.0,59.11
127,1.4,59.12
270,6.7,59.13
56,7.3,59.14
76,3.2,59.15
87,2.3,59.16
215,0.6,60.01
625,10.1,60.02
282,4.3,61.01
652,8.5,61.02
518,4.0,62.01
545,3.2,62.02
253,6.4,63.01
117,2.9,63.02
151,3.4,64.05
105,5.8,64.06
116,5.3,64.07
66,11.2,64.08
85,5.7,64.09
109,5.5,64.10
421,3.8,64.11
1056,8.5,65.01
900,20.3,65.02
791,12.8,66.02
233,18.5,66.03
269,21.2,66.05
895,16.3,66.06
388,14.1,67
140,9.5,68.02
325,4.4,69
545,5.5,70.02
516,13.8,70.03
279,4.1,70.04
1052,6.2,71.01
399,10.1,71.02
168,7.1,72.02
0,6.0,72.03
315,2.5,72.04
232,6.4,73
224,6.8,74
501,7.4,75
576,11.4,76
511,5.5,77
395,23.2,78.01
1053,11.7,78.02
144,13.3,79.03
665,7.9,80
715,9.4,81
778,13.3,82
1121,17.7,83.01
442,12.2,83.03
557,21.8,83.04
65,13.4,84.02
50,16.1,84.03
406,26.8,84.04
587,12.7,84.05
681,2.6,85.01
747,5.2,85.03
519,2.3,85.04
564,17.6,86
442,5.3,101.01
174,5.0,101.02
323,1.7,102
117,4.1,103
60,0.0,104.01
518,7.4,104.02
442,12.9,105.01
103,1.9,105.02
1082,20.8,1
499,2.3,2
763,9.0,3
788,10.3,4
615,12.6,5
450,8.5,6
486,3.3,7
569,9.3,8
552,10.0,9
715,20.1,10.01
672,14.4,10.02
1639,6.6,11.02
385,12.8,11.03
984,15.2,12
159,6.6,13
249,1.8,101.02
296,9.5,102
354,8.2,103
134,1.9,104
600,2.0,105.02
552,8.8,105.03
467,10.5,105.04
149,7.2,106
272,12.0,107.01
458,5.5,107.02
661,8.9,108
492,6.3,109.01
353,13.0,109.02
348,4.6,110
511,10.7,111
186,9.7,112
122,6.3,115.01
325,7.6,115.02
373,1.5,116
558,9.5,9400
0,-,9901
15,100.0,101.01
796,10.5,101.02
379,15.5,102
79,20.2,103
409,57.0,104.01
1047,11.7,104.02
750,15.9,105
662,12.6,106
711,24.2,107
102,6.5,108
756,16.7,109
59,19.7,110.01
311,9.3,110.02
549,12.7,111
331,4.0,112.01
1031,15.3,112.02
258,6.1,113.01
334,13.2,113.02
366,4.9,113.03
749,13.1,114
732,19.9,115
792,9.5,116
336,11.3,117
80,6.2,118.01
268,11.5,118.02
558,8.9,118.03
42,1.1,119.01
435,7.7,119.02
315,4.8,119.03
264,13.5,120.01
486,27.7,120.03
181,19.9,120.04
351,26.5,121.01
350,19.3,121.02
277,19.3,122.01
506,5.3,122.02
54,7.3,123.01
954,8.6,123.02
25,0.0,124
285,15.9,9400
153,5.7,1
88,0.8,2
45,1.2,3
310,5.8,4
134,3.3,5
188,3.2,8
372,12.5,1.02
1191,17.8,1.03
142,5.6,1.04
376,2.5,1.05
94,6.4,1.06
1112,17.3,2.01
451,17.9,2.02
993,14.3,3
1216,32.4,4
457,11.3,5.04
137,6.3,5.05
107,1.0,5.06
61,4.6,5.07
10,0.0,5.08
0,2.9,5.09
48,4.3,5.10
336,11.9,6.01
1074,25.9,6.02
670,51.8,6.03
210,6.2,7.01
355,11.6,7.02
334,8.6,8
532,10.0,9.02
325,4.8,9.03
384,10.8,9.04
130,10.5,9.05
735,9.5,9.06
309,10.3,9.07
320,1.7,9.08
55,7.7,9.09
103,4.6,9.11
369,8.2,9.12
49,7.0,9.13
93,3.8,9.14
237,5.1,10.01
594,16.0,10.02
389,6.5,10.03
1402,6.2,11.01
381,13.7,11.04
350,8.9,11.05
366,17.8,11.06
426,8.9,11.07
309,7.8,12.01
1592,13.7,12.02
1179,15.8,13.01
646,28.0,13.02
980,12.2,14.01
712,6.2,14.02
915,22.9,15
593,13.3,16
363,8.3,17
704,4.7,18.01
191,11.7,18.03
193,7.7,18.04
363,4.7,19.01
507,8.9,19.02
633,16.8,20.01
924,18.0,20.02
712,10.4,21
387,11.4,22.01
648,23.2,22.02
717,20.4,23.02
424,5.5,23.03
453,12.7,23.04
130,5.9,23.05
105,9.3,24.01
303,9.7,24.02
394,16.9,24.03
772,19.9,25.01
220,10.5,25.02
537,14.7,25.03
572,12.9,26
425,10.2,27.01
258,10.4,27.02
149,1.7,28.04
249,7.5,28.06
96,4.3,28.07
43,5.6,28.11
767,14.9,28.13
513,4.5,28.14
629,7.8,28.15
905,10.0,28.16
712,8.2,28.17
401,4.2,28.18
249,6.2,28.19
55,4.9,28.20
94,3.9,28.21
11,6.3,28.22
410,5.9,28.23
335,7.7,28.24
283,5.2,28.25
276,6.7,29.01
631,11.0,29.02
280,9.2,30.01
750,5.1,30.02
538,12.8,31.03
387,6.4,31.12
522,12.5,31.13
135,7.4,31.24
318,5.7,31.25
640,9.3,31.26
530,4.9,31.27
441,7.6,31.28
374,0.4,31.29
466,13.9,31.30
119,8.5,31.31
711,16.1,31.32
305,9.5,31.33
322,4.6,31.34
93,2.0,31.35
168,9.3,31.36
145,7.2,31.37
100,13.0,32.03
420,9.9,32.07
459,5.6,32.08
110,4.6,32.09
85,4.9,32.10
124,2.4,32.11
122,0.8,32.12
0,0.0,32.13
90,5.7,32.14
579,10.9,32.15
102,9.3,32.16
188,12.3,32.17
149,2.3,32.18
209,0.9,32.19
152,5.5,32.20
46,4.1,32.21
120,18.1,32.22
241,10.4,33.03
212,11.3,33.04
552,8.7,33.05
264,8.2,33.07
109,15.7,33.08
993,15.9,34
1302,5.8,35
640,17.9,36
217,2.7,38.06
93,7.1,38.07
96,5.8,38.08
101,5.3,38.10
146,4.3,38.11
218,6.8,38.12
100,10.0,38.14
254,4.5,38.15
501,10.8,38.16
36,3.0,38.17
272,10.6,38.18
399,6.3,38.19
11,10.9,38.20
190,11.5,38.21
41,0.0,38.22
119,4.8,38.23
104,6.0,38.24
112,4.6,38.25
1,4.8,38.26
85,2.9,38.27
226,3.1,39
357,11.4,40.01
401,9.4,40.02
539,9.6,41.01
632,8.6,41.02
0,-,43.02
401,12.1,43.03
71,2.8,43.04
145,16.5,43.05
851,9.6,44.02
298,4.6,44.03
523,11.5,44.04
286,9.6,45
0,-,46.01
0,-,46.03
38,10.3,46.05
263,11.7,46.06
212,17.4,46.07
455,12.0,47.02
216,20.3,47.03
543,11.8,47.04
450,8.8,48.01
861,18.7,48.02
569,14.1,49.01
218,2.1,49.03
223,0.4,49.04
633,6.6,50.03
262,22.0,50.05
127,6.8,50.06
183,8.3,51.03
157,1.1,51.04
877,10.6,52.03
613,13.7,52.05
531,19.9,52.06
161,0.4,52.07
371,6.0,52.08
265,16.7,53
357,10.0,54.02
97,12.6,54.05
180,3.7,54.06
516,9.5,54.07
317,7.0,54.08
303,7.1,54.09
189,4.9,54.10
510,13.6,55.08
292,10.0,55.09
233,9.8,55.10
244,13.2,55.11
610,26.2,55.12
78,8.6,55.13
160,16.3,55.14
393,5.7,56
16,13.1,57
348,8.1,58.03
869,17.8,58.04
169,10.0,58.05
170,10.0,58.06
497,9.3,59
0,-,60.02
348,4.4,60.03
75,0.9,60.04
79,2.2,60.06
156,7.1,60.09
22,7.8,60.10
158,5.2,60.11
233,4.3,60.12
122,9.1,61.01
412,11.8,61.02
418,10.6,62.01
925,5.9,62.02
531,12.9,63.01
792,13.1,63.03
579,8.0,63.04
478,8.3,64.03
718,17.8,64.04
217,10.8,64.05
966,5.8,64.06
264,14.4,65
568,8.4,66
117,8.5,1
208,11.7,2
354,5.7,4.02
268,3.1,4.03
759,8.0,4.05
76,0.0,4.06
624,13.3,4.07
417,5.8,5
159,10.8,6.02
51,9.1,6.03
353,4.3,6.04
210,4.6,7.01
217,6.7,7.02
435,6.2,8
411,10.9,9.01
294,4.6,9.02
263,7.6,10.01
728,7.3,10.02
331,16.0,10.03
786,12.3,11
